title,review,username,app_name,app_id,country,rating,sentiment,date,day,version_lvl1,version_lvl2,version_lvl3,link_words
Doesnt open,"I've opened this and tapped on the images/camera/college section and suddenly went back to home screen. Tried a few times, but still not working, i couldnt proceed to edit. Please fix this.",Otakugina,Pixlr,526783584,Malaysia,1,Negative,2014-12-03,Wednesday,2,2.5,2.5.0,college section
Doesnt open,"I've opened this and tapped on the images/camera/college section and suddenly went back to home screen. Tried a few times, but still not working, i couldnt proceed to edit. Please fix this.",Otakugina,Pixlr,526783584,Malaysia,1,Negative,2014-12-03,Wednesday,2,2.5,2.5.0,home screen
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,love app
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,close app
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,redownload effects
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,redownload effectsredownload filters
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,edit photos
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,deleting app
What happened,"I love this app, it's my favourite photography app. But for some reason, every time I close the app, it makes me redownload the effects/filters EVERY time I open it again. It's annoying because sometimes I want to edit my photos when I'm offline. I've already tried deleting the app and redownloading, no difference. Please fix this.",reywx,Pixlr,526783584,Malaysia,1,Negative,2014-11-10,Monday,2,2.3,2.3.0,deleting appdeleting difference
Work; Doesn't work!,This is good app though. However the app auto shut down while saving the picture. iPhone 4S.,Jensen K,Pixlr,526783584,Malaysia,2,Negative,2014-10-23,Thursday,2,2.3,2.3.0,saving picture
Work; Doesn't work!,This is good app though. However the app auto shut down while saving the picture. iPhone 4S.,Jensen K,Pixlr,526783584,Malaysia,2,Negative,2014-10-23,Thursday,2,2.3,2.3.0,auto shut
Work; Doesn't work!,This is good app though. However the app auto shut down while saving the picture. iPhone 4S.,Jensen K,Pixlr,526783584,Malaysia,2,Negative,2014-10-23,Thursday,2,2.3,2.3.0,app auto
iPhone 4,That's awesome photo editing app I loving It.. :-) :-*,Ali bodla,Pixlr,526783584,Malaysia,5,Positive,2014-08-03,Sunday,2,2.2,2.2.1,editing app
More than Delight ~,The most amazing photo editor apps i ever seen !!! Is really easy to use and convenience for a better photo edit. Appreciated with this great creation~ Wondering why there are so less people know Pixlr :(,DurianApple,Pixlr,526783584,Malaysia,5,Positive,2014-03-29,Saturday,2,2.2,2.2.1,know Pixlr
More than Delight ~,The most amazing photo editor apps i ever seen !!! Is really easy to use and convenience for a better photo edit. Appreciated with this great creation~ Wondering why there are so less people know Pixlr :(,DurianApple,Pixlr,526783584,Malaysia,5,Positive,2014-03-29,Saturday,2,2.2,2.2.1,people know
More than Delight ~,The most amazing photo editor apps i ever seen !!! Is really easy to use and convenience for a better photo edit. Appreciated with this great creation~ Wondering why there are so less people know Pixlr :(,DurianApple,Pixlr,526783584,Malaysia,5,Positive,2014-03-29,Saturday,2,2.2,2.2.1,people know Pixlr
More than Delight ~,The most amazing photo editor apps i ever seen !!! Is really easy to use and convenience for a better photo edit. Appreciated with this great creation~ Wondering why there are so less people know Pixlr :(,DurianApple,Pixlr,526783584,Malaysia,5,Positive,2014-03-29,Saturday,2,2.2,2.2.1,better photo edit
Best editing apps,"Great , pack of function. To me its a minimal photoshop.",Ipinoic,Pixlr,526783584,Malaysia,4,Positive,2013-12-24,Tuesday,2,2.2,2.2.0,pack of function
Best editing apps,"Great , pack of function. To me its a minimal photoshop.",Ipinoic,Pixlr,526783584,Malaysia,4,Positive,2013-12-24,Tuesday,2,2.2,2.2.0,photoshop To
The best so far,The only app you will need to edit your photos,Josstech,Pixlr,526783584,Malaysia,5,Positive,2013-11-30,Saturday,2,2.1,2.1.1,edit photos
Crashed,"Overall great app. But after the latest update, can't download font! been going on for weeks! fix it guys!",fulcrum23,Pixlr,526783584,Malaysia,1,Negative,2013-11-20,Wednesday,2,2.1,2.1.1,download font
Crashed,"Overall great app. But after the latest update, can't download font! been going on for weeks! fix it guys!",fulcrum23,Pixlr,526783584,Malaysia,1,Negative,2013-11-20,Wednesday,2,2.1,2.1.1,fix guys
Crashed,"Overall great app. But after the latest update, can't download font! been going on for weeks! fix it guys!",fulcrum23,Pixlr,526783584,Malaysia,1,Negative,2013-11-20,Wednesday,2,2.1,2.1.1,latest update
Always crash,Please fix the error.. Seen it always crash. I had send report many times. But still no action taken.. Btw this app awesome.. Thanks,AdamXCVI,Pixlr,526783584,Malaysia,3,Neutral,2013-10-17,Thursday,2,2.1,2.1.0,fix error
Always crash,Please fix the error.. Seen it always crash. I had send report many times. But still no action taken.. Btw this app awesome.. Thanks,AdamXCVI,Pixlr,526783584,Malaysia,3,Neutral,2013-10-17,Thursday,2,2.1,2.1.0,send report
Always crash,Please fix the error.. Seen it always crash. I had send report many times. But still no action taken.. Btw this app awesome.. Thanks,AdamXCVI,Pixlr,526783584,Malaysia,3,Neutral,2013-10-17,Thursday,2,2.1,2.1.0,action take
Best!,I love this one! Many choices and easy to use.. :),Hazirah Yusof,Pixlr,526783584,Malaysia,5,Positive,2013-08-28,Wednesday,1,1.3,1.3.1,love one
BEST APP EVER,I'm trying to update the app but it's not working :(,[.]Samantha[.],Pixlr,526783584,Malaysia,5,Positive,2013-07-05,Friday,1,1.3,1.3.0,update app
